Comment,Designator,Footprint,LCSC
1k,"R1,R4,R5",R_0402_1005Metric,C11702
PRTR5V0U2X,U4,SOT143B,C12333
.1u,"C10,C11,C12,C13,C14,C15,C3,C5,C6,C9",C_0402_1005Metric,C1525
10u,C7,C_0402_1005Metric,C15525
22pF,"C1,C2",C_0402_1005Metric,C1555
RP2040,U1,RP2040-QFN-56,C2040
27,"R2,R3",R_0402_1005Metric,C25100
Boot,"SW1,SW2",SW_SPST_TL3342,C318884
MX-NoLED,"MX1,MX10,MX11,MX12,MX13,MX14,MX15,MX16,MX17,MX18,MX19,MX2,MX20,MX21,MX22,MX23,MX24,MX25,MX26,MX27,MX28,MX29,MX3,MX30,MX31,MX33,MX34,MX35,MX36,MX37,MX38,MX39,MX4,MX40,MX41,MX42,MX43,MX44,MX45,MX46,MX47,MX48,MX49,MX5,MX51,MX52,MX53,MX54,MX55,MX56,MX57,MX59,MX6,MX60,MX61,MX63,MX64,MX65,MX66,MX67,MX68,MX69,MX7,MX8,MX9",SW_MX_HS_1u,C5156480
1u,"C16,C17,C4,C8",C_0402_1005Metric,C52923
XC6206PxxxMR,U3,SOT-23,C5446
EZmate,J1,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D46,D47,D48,D49,D5,D50,D51,D52,D53,D54,D55,D56,D57,D58,D59,D6,D60,D61,D62,D63,D64,D65,D7,D8,D9",D_SOD-123,C64898
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
W25Q128JVS,U2,SOIC-8_5.23x5.23mm_P1.27mm,C97521
