Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0402_1005Metric,101.7,-139.38,270.0,bottom
C2,22pF,C_0402_1005Metric,95.36,-139.0,90.0,bottom
C3,.1u,C_0402_1005Metric,112.6,-119.12,90.0,bottom
C4,1u,C_0402_1005Metric,94.24,-121.29,90.0,bottom
C5,.1u,C_0402_1005Metric,98.37,-118.49,90.0,bottom
C6,.1u,C_0402_1005Metric,94.85,-135.77,270.0,bottom
C7,10u,C_0402_1005Metric,91.11,-106.96,0.0,bottom
C8,1u,C_0402_1005Metric,92.97,-122.32,90.0,bottom
C9,.1u,C_0402_1005Metric,97.3,-118.82,90.0,bottom
C10,.1u,C_0402_1005Metric,90.92,-124.49,0.0,bottom
C11,.1u,C_0402_1005Metric,91.99,-129.5,0.0,bottom
C12,.1u,C_0402_1005Metric,90.92,-125.56,0.0,bottom
C13,.1u,C_0402_1005Metric,102.18,-124.86,90.0,bottom
C14,.1u,C_0402_1005Metric,96.0,-135.77,270.0,bottom
C15,.1u,C_0402_1005Metric,103.37,-129.5,180.0,bottom
C16,1u,C_0402_1005Metric,92.09,-100.81,0.0,bottom
C17,1u,C_0402_1005Metric,91.11,-105.9,0.0,bottom
D1,D_Small,D_SOD-123,85.64,-91.375,90.0,bottom
D2,D_Small,D_SOD-123,90.41,-115.18,90.0,bottom
D3,D_Small,D_SOD-123,97.56,-153.28,90.0,bottom
D4,D_Small,D_SOD-123,90.4,-172.34,90.0,bottom
D5,D_Small,D_SOD-123,88.82,-134.24,90.0,bottom
D6,D_Small,D_SOD-123,109.4525,-91.375,90.0,bottom
D7,D_Small,D_SOD-123,100.09,-115.18,90.0,bottom
D8,D_Small,D_SOD-123,118.99,-134.23,90.0,bottom
D9,D_Small,D_SOD-123,128.51,-153.29,90.0,bottom
D10,D_Small,D_SOD-123,114.21,-172.33,90.0,bottom
D11,D_Small,D_SOD-123,128.5025,-91.375,90.0,bottom
D12,D_Small,D_SOD-123,133.28,-115.18,90.0,bottom
D13,D_Small,D_SOD-123,138.04,-134.23,90.0,bottom
D14,D_Small,D_SOD-123,147.56,-153.28,90.0,bottom
D15,D_Small,D_SOD-123,138.02,-172.34,90.0,bottom
D16,D_Small,D_SOD-123,147.5525,-91.375,90.0,bottom
D17,D_Small,D_SOD-123,152.32,-115.18,90.0,bottom
D18,D_Small,D_SOD-123,157.09,-134.23,90.0,bottom
D19,D_Small,D_SOD-123,166.61,-153.29,90.0,bottom
D20,D_Small,D_SOD-123,166.6025,-91.375,90.0,bottom
D21,D_Small,D_SOD-123,171.38,-115.18,90.0,bottom
D22,D_Small,D_SOD-123,176.14,-134.23,90.0,bottom
D23,D_Small,D_SOD-123,185.66,-153.28,90.0,bottom
D24,D_Small,D_SOD-123,180.9,-172.33,90.0,bottom
D25,D_Small,D_SOD-123,192.8125,-91.375,90.0,bottom
D26,D_Small,D_SOD-123,190.42,-115.18,90.0,bottom
D27,D_Small,D_SOD-123,195.18,-134.23,90.0,bottom
D28,D_Small,D_SOD-123,204.71,-153.29,90.0,bottom
D29,D_Small,D_SOD-123,209.47,-172.33,90.0,bottom
D30,D_Small,D_SOD-123,211.8625,-91.375,90.0,bottom
D31,D_Small,D_SOD-123,209.48,-115.18,90.0,bottom
D32,D_Small,D_SOD-123,214.24,-134.24,90.0,bottom
D33,D_Small,D_SOD-123,223.76,-153.28,90.0,bottom
D34,D_Small,D_SOD-123,230.9125,-91.375,90.0,bottom
D35,D_Small,D_SOD-123,228.53,-115.19,90.0,bottom
D36,D_Small,D_SOD-123,233.29,-134.24,90.0,bottom
D37,D_Small,D_SOD-123,242.81,-153.28,90.0,bottom
D38,D_Small,D_SOD-123,238.04,-172.34,90.0,bottom
D39,D_Small,D_SOD-123,249.9625,-91.375,90.0,bottom
D40,D_Small,D_SOD-123,247.58,-115.18,90.0,bottom
D41,D_Small,D_SOD-123,252.34,-134.23,90.0,bottom
D42,D_Small,D_SOD-123,261.86,-153.28,90.0,bottom
D43,D_Small,D_SOD-123,276.16,-91.375,90.0,bottom
D44,D_Small,D_SOD-123,266.62,-115.18,90.0,bottom
D45,D_Small,D_SOD-123,271.39,-134.23,90.0,bottom
D46,D_Small,D_SOD-123,280.92,-153.28,90.0,bottom
D47,D_Small,D_SOD-123,285.67,-172.33,90.0,bottom
D48,D_Small,D_SOD-123,295.19,-91.37,90.0,bottom
D49,D_Small,D_SOD-123,285.68,-115.18,90.0,bottom
D50,D_Small,D_SOD-123,290.44,-134.23,90.0,bottom
D51,D_Small,D_SOD-123,299.96,-153.28,90.0,bottom
D52,D_Small,D_SOD-123,304.72,-172.33,90.0,bottom
D53,D_Small,D_SOD-123,314.24,-91.37,90.0,bottom
D54,D_Small,D_SOD-123,321.39,-134.23,90.0,bottom
D55,D_Small,D_SOD-123,309.49,-115.18,90.0,bottom
D56,D_Small,D_SOD-123,333.29,-91.37,90.0,bottom
D57,D_Small,D_SOD-123,326.16,-153.28,90.0,bottom
D58,D_Small,D_SOD-123,328.53,-172.33,90.0,bottom
D59,D_Small,D_SOD-123,333.3,-115.18,90.0,bottom
D60,D_Small,D_SOD-123,342.97,-115.18,90.0,bottom
D61,D_Small,D_SOD-123,342.98,-134.23,90.0,bottom
D62,D_Small,D_SOD-123,342.97,-153.28,90.0,bottom
D63,D_Small,D_SOD-123,342.97,-172.33,90.0,bottom
J1,SM04B,Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,120.65,-101.6,270.0,bottom
MX1,MX-NoLED,MX-1U,78.58125,-90.4875,0.0,top
MX3,MX-NoLED,MX-1.25U,80.9625,-133.35,0.0,top
MX6,MX-NoLED,MX-1.75U-FLIPPED,85.725,-133.35,0.0,top
R1,1k,R_0402_1005Metric,88.91,-138.5,90.0,bottom
R2,27,R_0402_1005Metric,96.37,-120.79,270.0,bottom
R3,27,R_0402_1005Metric,95.31,-120.79,270.0,bottom
R4,1k,R_0402_1005Metric,112.76,-111.89,270.0,bottom
R5,1k,R_0402_1005Metric,97.15,-135.76,90.0,bottom
R8,220,R_0402_1005Metric,80.2,-140.56,0.0,bottom
R9,R_0402_1005Metric,R_0402_1005Metric,77.31,-98.35,270.0,bottom
SW1,Boot,SW_SPST_TL3342,115.89,-107.73,0.0,bottom
SW2,Reset,SW_SPST_TL3342,78.53,-153.2,90.0,bottom
U1,RP2040,RP2040-QFN-56,97.5,-128.5,0.0,bottom
U2,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,116.22,-116.0,270.0,bottom
U3,XC6206PxxxMR,SOT-23,92.58,-103.42,90.0,bottom
U4,PRTR5V0U2X,SOT143B,113.68,-101.59,90.0,bottom
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,98.25,-139.0,180.0,bottom
